label,Rx39,Ry39,Rz39,Ry40,Rz40,Ry41,Rz41,Ry42,Rz44,Rz45,Rz46,Rz48,Rz49,Rz50,Rz52,Rz53,Rz54,Rz56,Rz57,Rz58
4,-6.00706,1.28125,-61.6936,-35.209,-32.8626,4.11786,15.0205,17.5076,-0.937352,21.8256,10.9128,-2.36691,-2.36691,-2.36691,-65.6996,-65.6996,-65.6996,0.735441,0.735441,0.735441
2,-7.80854,-9.00532,-21.2961,-9.43435,-30.2899,55.6653,17.594,6.35366,-98.6995,-66.0016,-33.0008,11.8294,11.8294,11.8294,-90.4984,-90.4984,-90.4984,13.5327,13.5327,13.5327
1,-6.18237,-2.05406,-35.453,-7.88208,-55.3838,58.7692,-7.49982,-70.88,-78.1807,-42.9208,-21.4604,-65.4698,-65.4698,-65.4698,1.67099,1.67099,1.67099,-46.4457,-46.4457,-46.4457
1,-5.47012,1.1791,-40.3521,-8.88747,-54.3549,56.7581,-6.47086,-62.5057,-74.5292,-47.565,-23.7825,-66.3766,-66.3766,-66.3766,-2.35347,-2.35347,-2.35347,-48.3867,-48.3867,-48.3867
2,7.68754,-11.4966,-34.831,-61.4506,-34.7533,-48.3642,13.1305,32.4484,-85.4728,-28.5859,-14.293,8.73083,8.73083,8.73083,-83.1389,-83.1389,-83.1389,-50.9894,-50.9894,-50.9894
4,-11.5658,0.11632,-62.1947,-40.4963,-41.0591,-6.45689,6.82366,22.1394,-9.31725,8.29143,4.14571,3.39721,3.39721,3.39721,-67.0494,-67.0494,-67.0494,-3.38836,-3.38836,-3.38836
2,-0.783488,-0.772266,-33.0575,-5.13181,-29.7406,64.2705,18.1434,9.23559,-108.844,-42.6591,-21.3295,12.7091,12.7091,12.7091,10.0077,10.0077,10.0077,-24.1462,-24.1462,-24.1462
3,37.7238,-5.49874,19.3759,-11.6066,-51.7763,51.3209,-3.88953,32.6641,-11.0672,20.6593,10.3297,-8.01403,-8.01403,-8.01403,-8.5434,-8.5434,-8.5434,-82.6978,-82.6978,-82.6978
3,-3.38089,31.9062,-37.4749,-28.1858,-58.5874,18.1654,-10.7003,16.4974,-77.4298,-70.3212,-35.1606,4.92311,4.92311,4.92311,7.14528,7.14528,7.14528,5.32532,5.32532,5.32532
2,-6.39453,8.40871,-45.7291,-42.4821,-31.2504,-10.431,16.6336,23.5911,-86.3703,-42.6148,-21.3074,-72.2042,-72.2042,-72.2042,-4.22984,-4.22984,-4.22984,-80.3458,-80.3458,-80.3458
2,-4.13871,-3.74018,-35.7615,-2.05801,-30.7089,70.4172,17.1753,11.4034,-93.3583,-59.2443,-29.6222,7.11723,7.11723,7.11723,-87.1018,-87.1018,-87.1018,14.5758,14.5758,14.5758
4,8.12314,-1.52489,-26.4601,-40.6109,-32.6361,-6.68708,15.2514,4.01053,4.83232,35.8206,17.9103,7.61146,7.61146,7.61146,-58.4015,-58.4015,-58.4015,5.0423,5.0423,5.0423
1,17.1307,-11.4816,-24.8197,-26.9325,-54.3235,20.6704,-6.43643,66.6008,-62.3419,-39.06,-19.53,2.92436,2.92436,2.92436,-63.3499,-63.3499,-63.3499,-65.6044,-65.6044,-65.6044
2,-6.69875,-8.63894,-23.4706,-9.43362,-31.5608,55.6666,16.3231,7.551,-95.6326,-75.8786,-37.9393,12.2511,12.2511,12.2511,-92.0844,-92.0844,-92.0844,10.1083,10.1083,10.1083
3,26.8073,12.4463,-66.7304,-52.5507,-39.7783,-30.5662,8.10577,-6.19391,19.5563,-1.50975,-0.754876,3.71237,3.71237,3.71237,-74.9864,-74.9864,-74.9864,-92.5745,-92.5745,-92.5745
4,-12.7365,-0.23337,-63.4657,-40.653,-41.2625,-6.77045,6.62017,23.2225,4.01813,24.0811,12.0406,4.62219,4.62219,4.62219,-67.1099,-67.1099,-67.1099,-3.0742,-3.0742,-3.0742
3,-1.02541,32.9614,-34.3114,-29.3838,-58.8438,15.7697,-10.9568,16.4899,-78.4027,-68.9271,-34.4635,4.40774,4.40774,4.40774,6.93967,6.93967,6.93967,9.09695,9.09695,9.09695
2,-0.98217,-0.155082,-35.1706,-4.12345,-29.3286,66.2872,18.5554,9.42103,-104.244,-38.9661,-19.483,11.8556,11.8556,11.8556,13.7586,13.7586,13.7586,-25.0943,-25.0943,-25.0943
1,11.3419,-9.77107,-79.5477,-23.246,-46.0386,28.0428,1.84833,27.3538,-94.1875,-34.1499,-17.075,-92.3661,-92.3661,-92.3661,-43.7218,-43.7218,-43.7218,-22.6765,-22.6765,-22.6765
4,19.2624,1.78084,-25.7782,-7.55741,-55.0843,59.4195,-7.19718,1.84787,31.9723,23.2233,11.6116,16.2285,16.2285,16.2285,15.6343,15.6343,15.6343,11.7166,11.7166,11.7166
2,8.02845,-11.7744,-34.7572,-61.4875,-34.7441,-48.4407,13.1436,32.3596,-86.7899,-28.5536,-14.2768,9.79893,9.79893,9.79893,-83.007,-83.007,-83.007,-50.896,-50.896,-50.896
1,8.28589,-10.4073,-26.8637,-23.7077,-40.0256,27.1195,7.8615,57.8399,13.7995,18.362,9.18099,-66.0675,-66.0675,-66.0675,-64.0079,-64.0079,-64.0079,-69.9982,-69.9982,-69.9982
1,7.46683,-12.2049,-38.4066,-18.1663,-64.1215,38.2006,-16.2374,-39.5636,-102.318,-4.63728,-2.31864,-65.7875,-65.7875,-65.7875,-6.04482,-6.04482,-6.04482,-47.2093,-47.2093,-47.2093
4,6.82487,-3.7116,-33.0384,-42.2317,-46.9044,-9.92682,0.979448,17.1932,18.9987,57.197,28.5985,-72.2483,-72.2483,-72.2483,-1.90649,-1.90649,-1.90649,21.9782,21.9782,21.9782
2,-1.46493,-20.5014,-19.6451,-9.36495,-35.1988,55.8064,12.6848,3.63052,-2.67368,44.4942,22.2471,-76.8893,-76.8893,-76.8893,0.977524,0.977524,0.977524,-47.9908,-47.9908,-47.9908
4,-4.59306,-1.94101,-55.4788,-35.7452,-37.5672,3.04542,10.316,16.3043,30.0443,45.3283,22.6641,8.21593,8.21593,8.21593,-68.0682,-68.0682,-68.0682,5.11103,5.11103,5.11103
2,-4.07274,-21.4483,-26.9652,-4.97932,-37.7716,64.5745,10.1126,9.02969,32.9907,32.9405,16.4702,8.34088,8.34088,8.34088,-84.7859,-84.7859,-84.7859,-46.9572,-46.9572,-46.9572
2,-11.6035,-6.64126,-33.533,-55.992,-44.4678,-37.4479,3.41548,20.2222,21.4844,31.4111,15.7056,-73.1796,-73.1796,-73.1796,-78.666,-78.666,-78.666,-62.0554,-62.0554,-62.0554
2,3.70073,20.8999,-55.739,-16.4708,-15.9358,41.5944,31.9483,9.93436,-123.333,-81.8549,-40.9274,-49.7932,-49.7932,-49.7932,-2.80451,-2.80451,-2.80451,14.7635,14.7635,14.7635
4,20.8258,-1.19545,-21.7349,-8.50002,-58.8803,57.5346,-10.9933,2.07948,14.9166,-5.07871,-2.53935,17.2675,17.2675,17.2675,18.6151,18.6151,18.6151,13.4634,13.4634,13.4634
1,-5.88147,15.4752,-49.3854,-14.6934,-50.7728,45.1495,-2.88911,-30.4121,-69.9211,-45.3837,-22.6918,-67.3164,-67.3164,-67.3164,-8.23689,-8.23689,-8.23689,-55.2208,-55.2208,-55.2208
4,8.40849,-14.6623,-20.4081,-2.39408,-58.5512,69.7467,-10.6641,1.91315,16.3548,14.3616,7.18078,11.7296,11.7296,11.7296,11.431,11.431,11.431,31.2739,31.2739,31.2739
5,4.86412,4.44583,45.1546,-51.2485,-21.6944,-1.14023,4.07529,19.6325,-0.400072,-0.400072,-0.400072,1.23728,1.23728,1.23728,2.03092,2.03092,2.03092,-3.24252,-3.24252,-3.24252
3,37.6961,-5.94753,15.1209,-12.1754,-53.3848,50.1836,-5.49794,27.3827,-19.9628,13.1871,6.59354,-5.0447,-5.0447,-5.0447,-13.7531,-13.7531,-13.7531,-83.5442,-83.5442,-83.5442
2,6.56112,-2.21245,-61.9366,-52.3257,-33.6929,-30.1172,14.1943,19.484,-85.7897,-20.7031,-10.3515,-74.2969,-74.2969,-74.2969,-50.3051,-50.3051,-50.3051,14.5654,14.5654,14.5654
2,-2.87569,18.9622,-55.4072,-14.6966,-15.8228,45.1424,32.0609,11.1906,-134.276,-90.278,-45.139,-51.021,-51.021,-51.021,9.57071,9.57071,9.57071,25.4753,25.4753,25.4753
4,37.2465,8.23365,-11.9828,-24.4003,-25.06,25.7343,22.8271,6.00008,-101.163,-176.629,-88.3144,-3.87232,-3.87232,-3.87232,-0.0241529,-0.0241529,-0.0241529,13.7814,13.7814,13.7814
2,-7.29267,7.18654,-50.191,-43.4662,-30.8128,-12.3996,17.0713,26.6424,-85.91,-38.5358,-19.2679,-71.7539,-71.7539,-71.7539,-3.5674,-3.5674,-3.5674,-83.482,-83.482,-83.482
2,2.62939,21.1613,-53.8293,-17.8748,-15.7558,38.7863,32.1283,9.88942,-123.813,-80.7167,-40.3583,-50.0552,-50.0552,-50.0552,2.08825,2.08825,2.08825,16.3663,16.3663,16.3663
1,18.0015,-11.3837,-23.9867,-27.1308,-54.5555,20.2739,-6.6684,66.2816,-61.8468,-40.3179,-20.1589,3.52134,3.52134,3.52134,-63.7041,-63.7041,-63.7041,-65.8713,-65.8713,-65.8713
1,19.7259,-4.60456,-31.9245,-24.6415,-48.9659,25.2517,-1.07884,64.9306,-78.7192,-56.1331,-28.0665,4.38224,4.38224,4.38224,-66.0322,-66.0322,-66.0322,-71.2275,-71.2275,-71.2275
1,12.4485,23.3696,-56.0733,-60.6696,-39.2502,-46.8064,8.63718,-0.321093,-82.6656,2.21058,1.10529,-79.5191,-79.5191,-79.5191,-63.872,-63.872,-63.872,-56.682,-56.682,-56.682
4,-3.63727,-0.755474,-56.1213,-36.2153,-37.2395,2.10535,10.6438,15.882,16.5033,36.7823,18.3912,7.78424,7.78424,7.78424,-68.3883,-68.3883,-68.3883,3.89011,3.89011,3.89011
2,-1.98173,-20.8073,-21.4897,-8.99021,-35.1216,56.5559,12.762,3.55154,1.92863,46.3567,23.1784,-76.36,-76.36,-76.36,6.19219,6.19219,6.19219,-47.751,-47.751,-47.751
2,7.63697,-11.0076,-34.1429,-61.3545,-34.5385,-48.1721,13.3454,32.5913,-85.644,-28.7692,-14.3846,8.08804,8.08804,8.08804,-83.9255,-83.9255,-83.9255,-51.8637,-51.8637,-51.8637
2,-4.93845,-23.5536,-16.6468,-11.9216,-37.4976,50.69,10.3864,4.23255,10.3224,51.6472,25.8236,-79.3286,-79.3286,-79.3286,12.2533,12.2533,12.2533,-52.3247,-52.3247,-52.3247
4,-4.32454,-1.90656,-55.6061,-35.7482,-37.396,3.03945,10.4872,16.2112,27.8376,43.7097,21.8549,8.21623,8.21623,8.21623,-67.9697,-67.9697,-67.9697,5.01239,5.01239,5.01239
4,39.427,9.55246,-17.7275,-25.7259,-26.1672,23.0827,21.72,5.3426,-101.543,176.166,88.0832,-11.8049,-11.8049,-11.8049,6.4105,6.4105,6.4105,18.8326,18.8326,18.8326
1,9.08463,10.2478,-50.5598,-24.6705,-31.2392,25.1923,16.648,57.558,36.2992,35.7658,17.8829,-70.0744,-70.0744,-70.0744,-81.4943,-81.4943,-81.4943,-71.3033,-71.3033,-71.3033
1,32.337,-2.87942,-12.7323,-30.8264,-42.9591,12.8825,4.92798,62.4143,-78.433,-42.3639,-21.182,10.0243,10.0243,10.0243,-75.5895,-75.5895,-75.5895,-64.7519,-64.7519,-64.7519
